geo,time,ag_con_fert_pt_zs
aus,1980,118.47546
aus,1981,122.80193
aus,1982,138.64243
aus,1983,149.95403
aus,1984,156.366
aus,1985,157.13483
aus,1986,143.32124
aus,1987,139.33902
aus,1988,146.20446
aus,1989,188.78627
aus,1990,236.50233
aus,1991,256.16677
aus,1992,262.2854
aus,1993,278.57662
aus,1994,264.9005
aus,1995,272.48307
aus,1996,330.69351
aus,1997,345.82939
aus,1998,344.31753
aus,1999,317.19011
aus,2000,235.25232
aus,2001,224.33619
aus,2002,228.47296
aus,2003,231.10895
aus,2004,252.37451
aus,2005,236.91279
aus,2006,224.67369
aus,2007,181.06978
aus,2008,215.56991
aus,2009,152.6386
aus,2010,282.41347
aus,2011,242.34269
aus,2012,267.73003
aus,2013,222.46569
aus,2014,383.40009
aus,2015,285.77962
aus,2016,282.482
aus,2017,309.27976
aus,2018,304.17898
aus,2019,307.08204
aus,2020,344.57519
bra,1980,213.57308
bra,1981,179.19696
bra,1982,180.9535
bra,1983,144.08861
bra,1984,158.88421
bra,1985,161.47029
bra,1986,176.58019
bra,1987,172.3839
bra,1988,171.96594
bra,1989,155.89925
bra,1990,169.18848
bra,1991,176.50587
bra,1992,190.90131
bra,1993,210.04655
bra,1994,206.81716
bra,1995,184.11052
bra,1996,215.92921
bra,1997,238.95412
bra,1998,241.42952
bra,1999,229.89612
bra,2000,250.54215
bra,2001,277.98545
bra,2002,275.34555
bra,2003,312.74425
bra,2004,348.06298
bra,2005,281.64311
bra,2006,279.69666
bra,2007,340.28468
bra,2008,334.1701
bra,2009,274.53968
bra,2010,322.01548
bra,2011,401.89828
bra,2012,391.64713
bra,2013,442.75403
bra,2014,480.74856
bra,2015,402.53287
bra,2016,526.33636
bra,2017,635.86439
bra,2018,590.89268
bra,2019,803.65944
bra,2020,790.81271
chn,1980,121.00483
chn,1981,118.63843
chn,1982,122.61893
chn,1983,129.62566
chn,1984,131.86022
chn,1985,125.1657
chn,1986,121.19804
chn,1987,132.94755
chn,1988,142.46839
chn,1989,138.50534
chn,1990,142.36565
chn,1991,147.99876
chn,1992,140.70799
chn,1993,126.08154
chn,1994,134.74727
chn,1995,140.35931
chn,1996,132.86672
chn,1997,132.90527
chn,1998,125.91369
chn,1999,123.6014
chn,2000,119.97387
chn,2001,118.12519
chn,2002,125.72983
chn,2003,112.27278
chn,2004,109.75432
chn,2005,114.50064
chn,2006,109.31976
chn,2007,100.60169
chn,2008,98.18997
chn,2009,95.59718
chn,2010,93.03171
chn,2011,93.50829
chn,2012,93.98379
chn,2013,92.69347
chn,2014,87.45309
chn,2015,82.18446
chn,2016,92.25368
chn,2017,92.13984
chn,2018,93.95612
chn,2019,89.3978
chn,2020,88.5656
deu,1980,54.07682
deu,1981,55.56124
deu,1982,56.29807
deu,1983,51.29517
deu,1984,52.40806
deu,1985,54.89106
deu,1986,56.83539
deu,1987,54.45645
deu,1988,55.91774
deu,1989,57.31179
deu,1990,52.14042
deu,1991,56.5782
deu,1992,57.56783
deu,1993,64.84385
deu,1994,64.99186
deu,1995,61.83573
deu,1996,58.65429
deu,1997,60.24375
deu,1998,59.47031
deu,1999,60.90683
deu,2000,60.9709
deu,2001,56.16144
deu,2002,57.44203
deu,2003,55.02592
deu,2004,57.52304
deu,2005,52.87303
deu,2006,50.34133
deu,2007,59.32284
deu,2008,56.26232
deu,2009,69.58053
deu,2010,66.87341
deu,2011,60.1142
deu,2012,58.07285
deu,2013,55.88383
deu,2014,58.44844
deu,2015,54.80768
deu,2016,55.54228
deu,2017,49.74071
deu,2018,47.92684
deu,2019,50.98132
deu,2020,47.41761
gbr,1980,114.11111
gbr,1981,121.29678
gbr,1982,128.26328
gbr,1983,129.99851
gbr,1984,127.96443
gbr,1985,130.16037
gbr,1986,131.8408
gbr,1987,139.66041
gbr,1988,134.9115
gbr,1989,144.14466
gbr,1990,149.06367
gbr,1991,152.88732
gbr,1992,145.56686
gbr,1993,143.10345
gbr,1994,153.45781
gbr,1995,156.61187
gbr,1996,146.21538
gbr,1997,135.60335
gbr,1998,128.37754
gbr,1999,158.28707
gbr,2000,156.52174
gbr,2001,169.69147
gbr,2002,160.73883
gbr,2003,154.2177
gbr,2004,164.40129
gbr,2005,175.96296
gbr,2006,174.87134
gbr,2007,159.78956
gbr,2008,193.22884
gbr,2009,229.46429
gbr,2010,209.37951
gbr,2011,176.53302
gbr,2012,162.85875
gbr,2013,420.14388
gbr,2014,420.2938
gbr,2015,366.69084
gbr,2016,473.51729
gbr,2017,412.55116
gbr,2018,436.81885
gbr,2019,439.17526
gbr,2020,341.83423
ind,1980,183.0532
ind,1981,148.02939
ind,1982,132.35148
ind,1983,145.03261
ind,1984,152.24967
ind,1985,150.14168
ind,1986,135.56442
ind,1987,116.26233
ind,1988,119.23276
ind,1989,132.11868
ind,1990,132.50249
ind,1991,128.75146
ind,1992,124.39169
ind,1993,135.27557
ind,1994,129.28294
ind,1995,122.32391
ind,1996,128.15675
ind,1997,122.98494
ind,1998,122.86599
ind,1999,126.08968
ind,2000,113.68746
ind,2001,118.59459
ind,2002,113.40128
ind,2003,119.96106
ind,2004,121.48632
ind,2005,132.89601
ind,2006,152.55105
ind,2007,172.23034
ind,2008,188.96502
ind,2009,181.23101
ind,2010,171.49176
ind,2011,171.19624
ind,2012,159.54028
ind,2013,149.51784
ind,2014,154.54611
ind,2015,149.44167
ind,2016,144.72852
ind,2017,146.53056
ind,2018,152.70119
ind,2019,156.48332
ind,2020,176.04225
jpn,1980,98.16216
jpn,1981,102.50955
jpn,1982,113.33524
jpn,1983,121.71694
jpn,1984,111.78665
jpn,1985,120.67012
jpn,1986,131.16493
jpn,1987,134.29608
jpn,1988,132.44717
jpn,1989,139.32423
jpn,1990,132.61183
jpn,1991,129.20354
jpn,1992,137.33641
jpn,1993,141.64003
jpn,1994,139.55053
jpn,1995,136.45132
jpn,1996,132.14406
jpn,1997,135.72777
jpn,1998,133.42739
jpn,1999,136.43433
jpn,2000,147.45405
jpn,2001,127.85647
jpn,2002,113.41093
jpn,2003,123.62478
jpn,2004,116.08067
jpn,2005,120.55
jpn,2006,120.55564
jpn,2007,132.66607
jpn,2008,115.02087
jpn,2009,104.32413
jpn,2010,120.5538
jpn,2011,125.4339
jpn,2012,128.89149
jpn,2013,129.69922
jpn,2014,144.13477
jpn,2015,131.93843
jpn,2016,129.2409
jpn,2017,134.481
jpn,2018,132.86485
jpn,2019,130.9845
jpn,2020,124.34548
usa,1980,91.10413
usa,1981,104.91643
usa,1982,97.35725
usa,1983,94.55636
usa,1984,88.43471
usa,1985,101.70967
usa,1986,81.85634
usa,1987,77.4743
usa,1988,75.84208
usa,1989,79.18594
usa,1990,76.84509
usa,1991,73.01668
usa,1992,73.84393
usa,1993,78.09503
usa,1994,75.90992
usa,1995,77.30151
usa,1996,74.94355
usa,1997,83.4669
usa,1998,84.86116
usa,1999,95.38296
usa,2000,106.1528
usa,2001,102.81124
usa,2002,108.69341
usa,2003,130.33309
usa,2004,120.35807
usa,2005,118.47462
usa,2006,128.14869
usa,2007,117.53045
usa,2008,108.36601
usa,2009,135.38233
usa,2010,128.71112
usa,2011,131.05021
usa,2012,133.62807
usa,2013,127.15194
usa,2014,121.21048
usa,2015,123.1156
usa,2016,117.26798
usa,2017,110.40424
usa,2018,109.30407
usa,2019,104.67162
usa,2020,106.61257
zaf,1980,115.1881
zaf,1981,128.82821
zaf,1982,138.09872
zaf,1983,110.87449
zaf,1984,97.89157
zaf,1985,101.34293
zaf,1986,108.16922
zaf,1987,103.21174
zaf,1988,97.96445
zaf,1989,101.14245
zaf,1990,96.92432
zaf,1991,98.50925
zaf,1992,97.70667
zaf,1993,109.35983
zaf,1994,108.49683
zaf,1995,96.69692
zaf,1996,94.60986
zaf,1997,90.23002
zaf,1998,97.63033
zaf,1999,97.33083
zaf,2000,128.34605
zaf,2001,147.91465
zaf,2002,148.69782
zaf,2003,126.35462
zaf,2004,163.23799
zaf,2005,150.69744
zaf,2006,183.1287
zaf,2007,152.46361
zaf,2008,173.83667
zaf,2009,180.18892
zaf,2010,171.02258
zaf,2011,186.53649
zaf,2012,158.04106
zaf,2013,235.73923
zaf,2014,184.78462
zaf,2015,238.4591
zaf,2016,203.55556
zaf,2017,237.9902
zaf,2018,281.16671
zaf,2019,332.27421
zaf,2020,338.43327
